codeMagasin;NomMagasinConcurrent;AdresseMagasinConcurrent;CodePostalMagasinConcurrent;VilleMagasinConcurrent;NomEnseigne;CodeProduit;TypeCommanditaire;OffreNiveau1;OffreNiveau2;OffreNiveau3;NumTarif;DateDébutTarif;DateFinTarif;DateRelevé;NotrePrix;PrixConcurrent
1736;-601;C C les 3 fontaines;95000;cergy;Auchan;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;58.28;90.73
1788;geant(602);c cial geant rte de frejus;6210;mandelieu;Casino;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;95.88;0
1788;geant(602);c cial geant rte de frejus;6210;mandelieu;Casino;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;59.5;51.94
1788;geant(602);c cial geant rte de frejus;6210;mandelieu;Casino;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;57.17;89.77
1788;geant(602);c cial geant rte de frejus;6210;mandelieu;Casino;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;69.59;23.39
1702;-622;rue du docteur d henin;62400;bethune;Auchan;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;2007-FF-10;47.53;62.76
1702;-622;rue du docteur d henin;62400;bethune;Auchan;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;86.94;60.13
1702;-622;rue du docteur d henin;62400;bethune;Auchan;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;53.88;0
1702;-623;c cial la rotonde;62400;bethune;TPH;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;80.57;29.81
1702;-623;c cial la rotonde;62400;bethune;TPH;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;14.44;34.54
1702;-623;c cial la rotonde;62400;bethune;TPH;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;45.83;40.97
1702;-623;c cial la rotonde;62400;bethune;TPH;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;40.89;47.52
1015;-628;NULL;0;NULL;TPH;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;43.14;17.69
1015;-628;NULL;0;NULL;TPH;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;37.55;14
1015;-628;NULL;0;NULL;TPH;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;2007-05-FF;18.5;30.73
1015;-628;NULL;0;NULL;TPH;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;92.74;0
1015;-629;NULL;0;NULL;Internity;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;72.9;1.9
1015;-629;NULL;0;NULL;Internity;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;63.93;80.7
1015;-630;NULL;0;NULL;Leclerc;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;74.1;65.47
1015;-630;NULL;0;NULL;Leclerc;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;26.78;22.28
1015;-630;NULL;0;NULL;Leclerc;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;64.68;38.04
1015;-630;NULL;0;NULL;Leclerc;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;55.37;42.49
1082;AUBIERE(633);101 AV J MOULIN;63170;AUBIERE;Auchan;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;64.94;39.02
1082;AUBIERE(633);101 AV J MOULIN;63170;AUBIERE;Auchan;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;20.51;96.05
1082;AUBIERE(633);101 AV J MOULIN;63170;AUBIERE;Auchan;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;35.68;74.67
1134;GEANT(634);50 rue du maréchal foch;95100;argenteuil;TPH;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;73.75;61.57
1134;GEANT(634);50 rue du maréchal foch;95100;argenteuil;TPH;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;35.25;40.01
1134;GEANT(634);50 rue du maréchal foch;95100;argenteuil;TPH;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;94.28;17.82
1109;-638;95 rue de rennes;75006;paris;TPH;604254;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;55.82;54.67
1109;-638;95 rue de rennes;75006;paris;TPH;604408;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;78.01;40.21
1109;-638;95 rue de rennes;75006;paris;TPH;604408;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;33.02;95.27
1804;-642;ccial geant;49300;cholet;Internity;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;70.59;47.49
1804;-642;ccial geant;49300;cholet;Internity;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;27.43;34.65
1804;-642;ccial geant;49300;cholet;Internity;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;11.46;55.76
1804;-642;ccial geant;49300;cholet;Internity;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;39.92;37.48
1756;AUCHAN(645);C.COMMERCIAL;50470;LA GLACERIE;Auchan;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;8.04;37.84
1756;AUCHAN(645);C.COMMERCIAL;50470;LA GLACERIE;Auchan;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;72.74;24.55
1756;AUCHAN(645);C.COMMERCIAL;50470;LA GLACERIE;Auchan;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;43.03;87.74
1756;AUCHAN(645);C.COMMERCIAL;50470;LA GLACERIE;Auchan;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;27.04;32.82
1724;carrefour(647);bld louis delfino;6000;nice;Carrefour;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;72.85;47.85
1724;carrefour(647);bld louis delfino;6000;nice;Carrefour;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;59.31;98.94
1724;carrefour(647);bld louis delfino;6000;nice;Carrefour;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;70;49.66
1143;carrefour(649);ctre commercial;77190;villiers en biere;Carrefour;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;96.8;60.16
1143;carrefour(649);ctre commercial;77190;villiers en biere;Carrefour;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;7.22;75.11
1143;carrefour(649);ctre commercial;77190;villiers en biere;Carrefour;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;93.44;27.26
1143;carrefour(649);ctre commercial;77190;villiers en biere;Carrefour;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;85.51;76.77
1143;hyper media(651);NULL;0;NULL;Fnac;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;30.71;35.53
1143;hyper media(651);NULL;0;NULL;Fnac;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;30.43;46.94
1143;hyper media(651);NULL;0;NULL;Fnac;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;98.81;46.14
1143;hyper media(651);NULL;0;NULL;Fnac;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;98.41;8.8
1782;GEANT(662);rte d' aix les bains;74600;seynod;Casino;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;24.19;28.66
1782;GEANT(662);rte d' aix les bains;74600;seynod;Casino;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;9.45;55.05
1782;GEANT(662);rte d' aix les bains;74600;seynod;Casino;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;44.92;48.32
1782;GEANT(662);rte d' aix les bains;74600;seynod;Casino;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;7.65;3.03
1149;-664;NULL;95570;moisselles;Internity;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;9.76;67.39
1149;-664;NULL;95570;moisselles;Internity;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;82.02;33.65
1149;-664;NULL;95570;moisselles;Internity;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;14.25;4.9
1149;-664;NULL;95570;moisselles;Internity;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;72.37;25.42
1738;-666;NULL;0;NULL;Carrefour;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;70.49;37.75
1738;-666;NULL;0;NULL;Carrefour;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;33.88;3.16
1738;-666;NULL;0;NULL;Carrefour;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;40.62;41.83
1738;-666;NULL;0;NULL;Carrefour;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;28.65;25.46
1113;-667;23 RUE ST ANTOINE;75004;PARIS;TPH;604408;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;76.21;4.79
1113;-667;23 RUE ST ANTOINE;75004;PARIS;TPH;604254;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;69.98;8.94
1113;-667;23 RUE ST ANTOINE;75004;PARIS;TPH;604408;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;87.82;71.53
1113;-668;RUE DE RIVOLI;75004;PARIS;Agence FT;604254;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;30.16;20.99
1113;-668;RUE DE RIVOLI;75004;PARIS;Agence FT;604408;2;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;74.58;15.68
1113;-668;RUE DE RIVOLI;75004;PARIS;Agence FT;604254;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;78.8;38.36
1113;-668;RUE DE RIVOLI;75004;PARIS;Agence FT;604408;2;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;2.91;92.16
1724;-669;NULL;0;NULL;TPH;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;79.59;39.47
1724;-669;NULL;0;NULL;TPH;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;50.04;12.45
1724;-669;NULL;0;NULL;TPH;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;33.23;13.06
1724;-669;NULL;0;NULL;TPH;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;18.54;70.78
1729;-670;zac du c oudoulet;84100;orange;Carrefour;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;33.1;45.61
1729;-670;zac du c oudoulet;84100;orange;Carrefour;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;45.78;89.26
1729;-670;zac du c oudoulet;84100;orange;Carrefour;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;75.63;30.17
1787;Auchan(684);za chantemerle;16400;la couronne;Auchan;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;58.84;38.1
1787;Auchan(684);za chantemerle;16400;la couronne;Auchan;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;56.26;84.67
1787;Auchan(684);za chantemerle;16400;la couronne;Auchan;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;73.55;14.9
1787;Auchan(684);za chantemerle;16400;la couronne;Auchan;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;87.38;94.47
1800;carrefour la courtine(688);rocade charles de gaulles;84000;avignon;Carrefour;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;48.33;38.92
1800;carrefour la courtine(688);rocade charles de gaulles;84000;avignon;Carrefour;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;42.26;56.6
1800;carrefour la courtine(688);rocade charles de gaulles;84000;avignon;Carrefour;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;17.58;92.05
1800;carrefour la courtine(688);rocade charles de gaulles;84000;avignon;Carrefour;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;76.22;74.28
1800;tel and com la courtine(689);rocade charle de gaulles;84000;avignon;Tel & Com;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;14.61;50.09
1800;tel and com la courtine(689);rocade charle de gaulles;84000;avignon;Tel & Com;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;53.89;82.92
1800;tel and com la courtine(689);rocade charle de gaulles;84000;avignon;Tel & Com;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;92.58;46.19
1033;fnac(692);c c st jacques;57070;metz;Fnac;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;97.2;94.33
1033;fnac(692);c c st jacques;57070;metz;Fnac;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;1.7;15.76
1033;fnac(692);c c st jacques;57070;metz;Fnac;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;58.09;63.46
1033;telephone store(693);c c st jacques;57070;metz;TelephoneStore;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;99.34;88
1033;telephone store(693);c c st jacques;57070;metz;TelephoneStore;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;52.27;30.84
1033;telephone store(693);c c st jacques;57070;metz;TelephoneStore;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;77.39;89.29
1033;tel et com(694);c c  st jacques;57070;metz;Tel & Com;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;68.05;27.92
1033;tel et com(694);c c  st jacques;57070;metz;Tel & Com;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;5.11;91.3
1033;tel et com(694);c c  st jacques;57070;metz;Tel & Com;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;45.07;49.81
1033;tel et com(694);c c  st jacques;57070;metz;Tel & Com;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;94.7;93.76
1856;GEANT CASINO(706);AVENUE FREDERIC MISTRAL;38670;CHASSE SUR RHONE;Casino;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;43.55;46.71
1856;GEANT CASINO(706);AVENUE FREDERIC MISTRAL;38670;CHASSE SUR RHONE;Casino;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;75.36;41.02
1133;-725;CC ESPACE GRD RUE;59100;ROUBAIX;TPH;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;79;23.25
1133;-725;CC ESPACE GRD RUE;59100;ROUBAIX;TPH;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;29.66;53.46
1133;-725;CC ESPACE GRD RUE;59100;ROUBAIX;TPH;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;57.93;74.25
1133;-725;CC ESPACE GRD RUE;59100;ROUBAIX;TPH;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;2015-03-10 00:00:00.000;10/05/2007;26.92;45.46
1133;-726;NULL;59100;ROUBAIX;Casino;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;44.4;93.53
1133;-726;NULL;59100;ROUBAIX;Casino;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;63.57;4.21
1133;-726;NULL;59100;ROUBAIX;Casino;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;20/02/2015;77.01;53.61
1766;-727;NULL;0;NULL;Leclerc;604254;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;74.23;81.66
1766;-727;NULL;0;NULL;Leclerc;604408;1;ABONEMENT;Essentiel 1h;12 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;22.66;58
1766;-727;NULL;0;NULL;Leclerc;604254;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;39.94;40.31
1766;-727;NULL;0;NULL;Leclerc;604408;1;ABONEMENT;Essentiel 1h;24 mois;BSE;2014-12-01 00:00:00.000;vide;10/05/2007;92.72;87.28
